value,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count - priority,,,group,year,priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AA,,,,,,,,,,,,,,,AI,,,,,,,,,,,,,,,AS,,,,,,,,,,,,,,,EL,,,,,,,,,,,,,,,FI,,,,,,,,,,,,,,,FOS,,,,,,,,,,,,,,,HI,,,,,,,,,,,,,,,HOM,,,,,,,,,,,,,,,MR,,,,,,,,,,,,,,,PI,,,,,,,,,,,,,,,SED,,,,,,,,,,,,,,,SWD,,,,,,,,,,,,,,,TOM,,,,,,,,,,,,,,,WH,,,,,,,,,,,,,,,Total Result
,,,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,2017,,,,2017 Result,2018,,,,2018 Result,2019,,,,2019 Result,
geoarea,Countyname,LEAname,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,pri4,pri5,pri6,pri8,,
ACOE,Alameda,Alameda County Office of Education,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,,Alameda Unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,Berkeley Unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,1,1,,,2,,1,,1,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,Castro Valley Unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,Emery Unified,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,Fremont Unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,Hayward Unified,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,1,,1,,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,1,,1,3,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,1,,,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
